,subid,category,timepoint
0,Al,Flower,FU2
1,Al,Flower,FU3
2,Al,House,FU2
3,Al,House,FU3
4,Al,Person,FU2
5,Al,Person,FU3
6,Ar,Face,FU2
7,Ar,Flower,FU2
8,Ar,Flower,PO1
9,Ar,House,FU3
10,Ar,Person,FU2
11,Ar,Person,FU3
12,Ar,Plower,FU3
13,Ba,Face,FU1
14,Ba,Face,FU2a
15,Ba,Face,FU2b
16,Ba,Face,FU3
17,Ba,Face,PO2
18,Ba,Flower,FU3
19,Ba,House,FU2b
20,Ba,House,FU3
21,Ba,Person,FU2b
22,Bd,Face,FU1
23,Bd,Face,PO1
24,Bd,Face,PO2
25,Bd,Flower,FU1
26,Bd,Flower,FU2
27,Bd,Flower,FU3
28,Bd,Flower,PO1
29,Bd,Flower,PO2
30,Bd,House,FU1
31,Bd,House,FU2
32,Bd,House,FU3
33,Bd,House,PO1
34,Bd,House,PO2
35,Bd,Person,FU2
36,Bd,Person,FU3
37,Bd,Person,PO1
38,Bd,Person,PO2
39,Dh,Face,FU1
40,Dh,Face,FU2
41,Dh,Face,FU3
42,Dh,Flower,FU3
43,Dh,House,FU3
44,Lo,Face,FU1
45,Lo,Face,PO2
46,Mh,Flower,Pre
47,Mh,House,Pre
48,Mh,Person,Pre
49,Mo,Face,FU1
50,Mo,Face,PO1
51,Mo,Face,PO2
52,Mo,Face,Pre
53,Ni,Face,FU1
54,Ni,Face,FU2
55,Ni,Face,FU3
56,Ni,Flower,FU3
57,Ni,House,FU3
58,Ra,Face,FU1
59,Ra,Face,PO1
60,Ra,Face,PO2
61,Ra,Flower,FU1
62,Ra,Flower,FU3
63,Ra,Flower,PO1
64,Ra,Flower,PO2
65,Ra,House,FU1
66,Ra,House,FU3
67,Ra,House,PO1
68,Ra,House,PO2
69,Ra,Person,FU1
70,Ra,Person,FU3
71,Ra,Person,PO1
72,Ra,Person,PO2
73,Ri,Flower,PO1
74,Ri,Flower,Pre
75,Ri,House,PO1
76,Ri,House,Pre
77,Ri,Person,PO1
78,Ri,Person,Pre
79,Ro,Flower,PO2
80,Ro,Flower,Pre
81,Ro,House,PO2
82,Ro,House,Pre
83,Ro,Person,PO2
84,Ro,Person,Pre
85,Sa,Face,PO1
86,Sa,Face,Pre
87,Sa,Flower,FU2
88,Sa,Flower,FU3
89,Sa,Flower,PO2
90,Sa,House,FU2
91,Sa,House,FU3
92,Sa,House,PO2
93,Sa,Person,FU1
94,Sa,Person,FU2
95,Sa,Person,FU3
96,Sa,Person,PO2
97,Sh,Face,FU1
98,Sh,Face,PO1
99,Sh,Face,PO2
100,Sh,Face,Pre
101,Sh,Flower,FU3
102,Sh,House,FU3
103,Sh,Person,FU3
104,So,Face,FU1
105,So,Face,FU2
106,So,Face,FU3
107,So,Face,PO2
108,So,Flower,FU3
109,So,House,FU3
110,So,Person,PO2
111,Su,Flower,PO1
112,Su,Flower,Pre
113,Ta,Face,FU1
114,Ta,Flower ,FU3
115,Ta,House ,FU3
116,Ta,Person ,FU2
117,Ta,Person ,FU3
118,Va,Flower,PO1
119,Va,Flower,PO2
120,Va,Flower,Pre
121,Va,House,PO1
122,Va,House,PO2
123,Va,House,Pre
124,Va,Person,PO1
125,Va,Person,PO2
126,Va,Person,Pre
127,Za,Face,PO2
128,Za,Flower,FU1
129,Za,Flower,FU3
130,Za,Flower,PO2
131,Za,Flower,Pre
132,Za,House,FU1
133,Za,House,FU3
134,Za,House,PO2
135,Za,Person,FU1
136,Za,Person,FU3
137,Za,Person,PO2
138,Za,Person,Pre
